Thread 0 removes: JOB ID: 82, restart time = 100, End time = 106, Priority = 0, Remaining Time = 0
Thread 0 removes: JOB ID: 83, restart time = 106, End time = 131, Priority = 0, Remaining Time = 17
Thread 0 removes: JOB ID: 83, restart time = 131, End time = 148, Priority = 0, Remaining Time = 0
Thread 0 removes: JOB ID: 87, Start time = 148, End time = 155, Priority = 1, Remaining Time = 0
Thread 0 removes: JOB ID: 85, Start time = 155, End time = 180, Priority = 4, Remaining Time = 36
Thread 0 removes: JOB ID: 84, Start time = 180, End time = 205, Priority = 4, Remaining Time = 20
Thread 0 removes: JOB ID: 85, restart time = 205, End time = 230, Priority = 4, Remaining Time = 11
Thread 0 removes: JOB ID: 84, restart time = 230, End time = 250, Priority = 4, Remaining Time = 0
Thread 0 removes: JOB ID: 79, Start time = 250, End time = 275, Priority = 5, Remaining Time = 16
Thread 0 removes: JOB ID: 88, Start time = 275, End time = 300, Priority = 5, Remaining Time = 11
Thread 0 removes: JOB ID: 79, restart time = 300, End time = 316, Priority = 5, Remaining Time = 0
Thread 0 removes: JOB ID: 88, restart time = 316, End time = 327, Priority = 5, Remaining Time = 0
Thread 0 removes: JOB ID: 86, Start time = 327, End time = 387, Priority = 6, Remaining Time = 0
Thread 0 removes: JOB ID: 81, Start time = 387, End time = 396, Priority = 8, Remaining Time = 0
Thread 0 removes: JOB ID: 80, Start time = 396, End time = 421, Priority = 8, Remaining Time = 41
Thread 0 removes: JOB ID: 80, restart time = 421, End time = 446, Priority = 8, Remaining Time = 16
Thread 0 removes: JOB ID: 80, restart time = 446, End time = 462, Priority = 8, Remaining Time = 0
Producing: JOB Id = 89, Burst Time = 10, Remaining Time = 10, Priority = 6 (Jobs Produced = 90, Jobs in buffer = 3)
Producing: JOB Id = 90, Burst Time = 41, Remaining Time = 41, Priority = 1 (Jobs Produced = 91, Jobs in buffer = 4)
Producing: JOB Id = 91, Burst Time = 90, Remaining Time = 90, Priority = 8 (Jobs Produced = 92, Jobs in buffer = 5)
Producing: JOB Id = 92, Burst Time = 15, Remaining Time = 15, Priority = 7 (Jobs Produced = 93, Jobs in buffer = 6)
Producing: JOB Id = 93, Burst Time = 31, Remaining Time = 31, Priority = 1 (Jobs Produced = 94, Jobs in buffer = 7)
Thread 0 removes: JOB ID: 93, Start time = 0, End time = 25, Priority = 1, Remaining Time = 6
Thread 0 removes: JOB ID: 90, Start time = 25, End time = 50, Priority = 1, Remaining Time = 16
Thread 0 removes: JOB ID: 93, restart time = 50, End time = 56, Priority = 1, Remaining Time = 0
Thread 0 removes: JOB ID: 90, restart time = 56, End time = 72, Priority = 1, Remaining Time = 0
Thread 0 removes: JOB ID: 89, Start time = 72, End time = 82, Priority = 6, Remaining Time = 0
Thread 0 removes: JOB ID: 92, Start time = 82, End time = 97, Priority = 7, Remaining Time = 0
Thread 0 removes: JOB ID: 91, Start time = 97, End time = 187, Priority = 8, Remaining Time = 0
Producing: JOB Id = 94, Burst Time = 54, Remaining Time = 54, Priority = 5 (Jobs Produced = 95, Jobs in buffer = 1)
